rule_id,priority,class,intent,trigger_phrases,dm_response,public_comment_reply,link_code,link_kind,escalate,grounded_in,status,notes,promo_from,promo_until,promo_review_by,promo_response
SP-ESC-ROI,10,escalate_only,Returns / yield / appreciation,roi|r o i|yield|rental yield|rental income|short let|shortlet|airbnb|return on investment|returns|appreciate|appreciation|capital growth|resale value|will it appreciate|investment value|passive income|what will it be worth|how much will it be worth,"That is a question about returns, and it is not one I will answer with an estimate - anything I said would be a guess dressed up as a number.

Let me put you with someone from the team who can talk it through with you properly.",Sent you a DM - the team will pick this up with you,SP-ESC-ROI,none,TRUE,must_not_say[0]|must_not_say[1],live,"NEVER give a figure. Zero facts by design. Narrowed 2026-09-15: general investment interest now goes to SP-INVEST, which answers with warranted facts. This rule keeps the projection asks - and still outranks SP-INVEST when both match.",,,,
SP-ESC-REFUND,10,escalate_only,Refund / cancellation,refund|refunds|cancel|cancellation|cancel my purchase|withdraw|pull out|opt out|back out|change my mind|money back,"I will give you this one straight, because it matters. On cancellation for any reason, the purchaser forfeits 25% of the agreed purchase price as a cancellation penalty. Refunds are made only after the property is resold to a third party, and the developer has up to 180 days from the date of resale to make any net refund.

That is the written policy. Let me get someone from the team to take you through it before you decide anything.",Sent you a DM - the team will pick this up with you,SP-ESC-REFUND,none,TRUE,payment.refund_policy.summary,live,Verbatim per kb assistant_handling. Never soften or omit the 25% or the resale condition.,,,,
SP-ESC-PAYTO,10,escalate_only,Account details / ready to pay,account number|account details|account no|send account|send me account|bank details|pay now|make payment|transfer|i want to pay|ready to pay|how do i pay,"I do not share bank or payment information in a chat window - that is how people get defrauded, and I am not going to be the weak link in that.

Payments go to IFT Realty Ltd, and a member of the team will confirm the details with you directly. Let me get them now.",Sent you a DM - the team will pick this up with you,SP-ESC-PAYTO,none,TRUE,payment.account_name|payment.account_number_policy,live,States the account NAME (warranted) and never a number. Highest-trust moment in the whole flow.,,,,
SP-ESC-DISC,10,escalate_only,Discount / negotiation,discount|negotiate|negotiable|best price|last price|final price|reduce|reduce am|any discount|price off|make me a price|bring down the price,"Prices at Shalom Park are not negotiable, so I would rather tell you that now than have you find out at the end.

If you would like to talk through the payment plan instead - 50% down, balance over 3, 6 or 12 months - let me get the team on it.",Sent you a DM - the team will pick this up with you,SP-ESC-DISC,none,TRUE,pricing_terms.negotiable|payment.initial_deposit|payment.plan_durations,live,Negotiability is warranted. No discount authority exists.,,,,
SP-ESC-LEGAL,10,escalate_only,Litigation / genuineness,litigation|court|lawsuit|dispute|omonile|land grabber|is it genuine|is it legit|is this a scam|scam|fraud|fraudulent|any problem with the land|encumbrance,"IFT Realty has warranted in writing that there is no litigation, acquisition or dispute on the land, and that the estate is held under Governors Consent with confirmed layout approval.

Beyond that, this deserves a person and not a chat window - let me get the team to speak with you and show you the documents.",Sent you a DM - the team will pick this up with you,SP-ESC-LEGAL,none,TRUE,documentation.litigation_acquisition_or_dispute|documentation.title_status,live,Conversational statement of a warranted fact is permitted. Documents not yet sighted by Propel - Gate 2.,,,,
SP-ESC-COMPLETE,10,escalate_only,Completion date,completion|completion date|when will it be completed|when finished|when will it be ready|delivery date|finish date|estimated completion,"The estate is about 30% developed overall. I do not have a confirmed completion date in writing, and I am not going to give you one that is not - let me get the team to confirm it for you.",Sent you a DM - the team will pick this up with you,SP-ESC-COMPLETE,none,TRUE,development.overall_stage_percent|escalate_always[0],live,estimated_completion_date is null in the KB. Escalation is the only correct answer.,,,,
SP-ESC-FEES,10,escalate_only,Other charges / total cost,legal fee|legal fees|agency fee|other charges|hidden charges|additional cost|extra cost|total cost|all in price|what else do i pay|service charge|association fee,"The price covers the purchase only. Legal fees, utility connection (electricity and water) and the homeowners association fee are charged separately.

I do not have the exact amounts in writing, so let me get the team to send them rather than quote you a figure I would have to correct later.",Sent you a DM - the team will pick this up with you,SP-ESC-FEES,none,TRUE,pricing_terms.included_in_price|pricing_terms.excluded_from_price|pricing_terms.excluded_amounts_supplied,live,Excluded ITEMS are warranted. Excluded AMOUNTS are not supplied - never estimate them.,,,,
SP-ESC-AGENT,10,escalate_only,Agency / partnership / commission,commission|as an agent|i am a realtor|realtor|partner with you|partnership|collaborate|work with you|affiliate|referral fee|do you have agents,"Thanks - partnership, agency and commission enquiries go to a person rather than through me. Let me pass you on.",Sent you a DM - the team will pick this up with you,SP-ESC-AGENT,none,TRUE,escalate_always[9],live,Commercial terms are never the assistants business.,,,,
SP-ESC-MORTGAGE,10,escalate_only,Mortgage / financing,mortgage|bank loan|financing|finance it|nhf|pension|federal mortgage|can i get a loan|loan,"Financing is not something I can speak to - the only plan I have in writing is 50% down with the balance over 3, 6 or 12 months.

Let me get the team to tell you what is actually possible on your side.",Sent you a DM - the team will pick this up with you,SP-ESC-MORTGAGE,none,TRUE,payment.initial_deposit|payment.plan_durations,live,No mortgage or financing arrangement exists anywhere in the facts sheet.,,,,
SP-2B,20,fast_lane,2-bedroom condominium,2 bedroom|2 bed|two bedroom|2bedroom|2bed|condo|condos|condominium|condominiums|the condo|2 bedroom flat|apartment|apartments|2 bedroom apartment|luxury apartment,"The 2-bedroom condominium is 95,000,000 naira. It is under development, finished spec, and 5 of the 16 units are available as at our last stock check.

Deposit and payment plans vary by product and by what is running at the time, so let me have the team confirm the exact terms that apply to you today rather than quote you something that has moved.",Just sent you a DM,SP-2B,whatsapp,TRUE,units[1].price_ngn|units[1].stage|units[1].available|units[1].total_units,live,"PROMO LIVE (open-ended, re-confirm by 2026-10-15). 5,000,000 naira entry deposit per Collins 2026-09-15. Runs until sold out, so it carries a review date instead of an end date - if nobody re-confirms it, the card reverts to the signed 50% terms on its own.",,,2026-10-15,"The 2-bedroom condominium is 95,000,000 naira - under development, finished spec, and 5 of the 16 units are available as at our last stock check.

There is an offer running: you can secure a unit with a 5,000,000 naira initial deposit and spread the balance over 12 months. It runs until the units are sold rather than to a fixed date.

Let me get the team to confirm the terms in writing before you pay anything."
